id,taiwan,china_simplified,china_traditional,english,confidence,category,reason,domain,match_type,context_before,context_after,context_exclude,autofix_safe
algorithm,演算法,算法,算法,algorithm,0.95,mainland-term,台灣學術標準用語,tech,exact,,,,true
application,應用程式,应用程序,應用程序,application,0.90,mainland-term,台灣軟體開發標準,tech,exact,,,,true
array,陣列,数组,數組,array,0.95,mainland-term,台灣程式設計標準,tech,exact,,,,true
async,非同步,异步,異步,asynchronous,0.90,mainland-term,台灣程式開發標準,tech,exact,,,,true
attribute,屬性,属性,屬性,attribute,0.80,mainland-term,台灣物件導向標準,tech,exact,,,,true
auth,驗證,认证,認證,authentication,0.90,mainland-term,台灣資安標準用語,tech,exact,,,,true
authorization,授權,授权,授權,authorization,0.85,mainland-term,台灣權限管理標準,tech,exact,,,,true
binary,二元,二进制,二進制,binary,0.90,mainland-term,台灣計算機科學標準,tech,exact,,,,true
boolean,布林,布尔,布爾,boolean,0.95,mainland-term,台灣程式語言標準,tech,exact,,,,true
build,建構,构建,構建,build,0.85,mainland-term,台灣軟體開發標準,tech,exact,,,,true
byte,位元組,字节,字節,byte,0.95,mainland-term,台灣計算機硬體標準,tech,exact,,,,true
cache,快取,缓存,緩存,cache,0.90,mainland-term,台灣系統效能標準,tech,exact,,,,true
call,呼叫,调用,調用,call,0.90,mainland-term,台灣程式設計標準,tech,exact,,,,true
callback,回呼,回调,回調,callback,0.85,mainland-term,台灣非同步程式設計,tech,exact,,,,true
character,字元,字符,字符,character,0.90,mainland-term,台灣文字處理標準,tech,exact,,,,true
class,類別,类,類,class,0.95,mainland-term,台灣物件導向標準,tech,exact,,,,true
code,程式碼,代码,代碼,code,0.95,mainland-term,台灣軟體開發標準,tech,exact,,,,true
compile,編譯,编译,編譯,compile,0.95,mainland-term,台灣程式語言標準,tech,exact,,,,true
compiler,編譯器,编译器,編譯器,compiler,0.95,mainland-term,台灣程式語言工具,tech,exact,,,,true
component,組件,组件,組件,component,0.85,mainland-term,台灣軟體架構標準,tech,exact,,,,true
constructor,建構子,构造函数,構造函數,constructor,0.90,mainland-term,台灣物件導向標準,tech,exact,,,,true
debug,除錯,调试,調試,debug,0.90,mainland-term,台灣程式開發標準,tech,exact,,,,true
default,預設,默认,默認,default,0.90,mainland-term,台灣系統設定標準,tech,exact,,,,true
definition,定義,定义,定義,definition,0.80,mainland-term,台灣程式語言標準,tech,exact,,,,true
dependency-injection,依賴注入,依赖注入,依賴注入,dependency injection,0.90,mainland-term,台灣設計模式標準,tech,exact,,,,true
element,元素,元素,元素,element,0.75,mainland-term,台灣介面設計標準,tech,exact,,,,true
event,事件,事件,事件,event,0.80,mainland-term,台灣程式設計標準,tech,exact,,,,true
exception,例外,异常,異常,exception,0.90,mainland-term,台灣錯誤處理標準,tech,exact,,,,true
field,欄位,字段,字段,field,0.90,mainland-term,台灣資料庫標準,tech,exact,,,,true
framework,框架,框架,框架,framework,0.75,mainland-term,台灣軟體開發標準,tech,exact,,,,true
function,函式,函数,函數,function,0.95,mainland-term,台灣程式設計標準,tech,exact,,,,true
generate,產生,生成,生成,generate,0.85,mainland-term,台灣程式開發標準,tech,exact,,,,true
global,全域,全局,全局,global,0.90,mainland-term,台灣程式設計標準,tech,exact,,,,true
handler,處理器,处理器,處理器,handler,0.85,mainland-term,台灣程式設計標準,tech,exact,,,,true
hash,雜湊,哈希,哈希,hash,0.90,mainland-term,台灣密碼學標準,tech,exact,,,,true
heap,堆積,堆,堆,heap,0.90,mainland-term,台灣記憶體管理標準,tech,exact,,,,true
implement,實作,实现,實現,implement,0.90,mainland-term,台灣軟體開發標準,tech,exact,,,,true
import,匯入,导入,導入,import,0.90,mainland-term,台灣程式開發標準,tech,exact,,,,true
inheritance,繼承,继承,繼承,inheritance,0.85,mainland-term,台灣物件導向標準,tech,exact,,,,true
instance,實體,实例,實例,instance,0.90,mainland-term,台灣物件導向標準,tech,exact,,,,true
interface,介面,接口,接口,interface,0.95,mainland-term,台灣軟體設計標準,tech,exact,,,,true
invoke,呼叫,调用,調用,invoke,0.85,mainland-term,台灣程式設計標準,tech,exact,,,,true
iterate,疊代,迭代,迭代,iterate,0.90,mainland-term,台灣程式設計標準,tech,exact,,,,true
library,程式庫,程序库,程序庫,library,0.95,mainland-term,台灣軟體開發標準,tech,exact,,,,true
loop,迴圈,循环,循環,loop,0.90,mainland-term,台灣程式設計標準,tech,exact,,,,true
method,方法,方法,方法,method,0.75,mainland-term,台灣物件導向標準,tech,exact,,,,true
module,模組,模块,模塊,module,0.90,mainland-term,台灣軟體架構標準,tech,exact,,,,true
object,物件,对象,對象,object,0.95,mainland-term,台灣物件導向標準,tech,exact,,,,true
